minutes,count
4.98,4
22.47,3
6.48,3
7.15,3
2.55,3
7.27,2
12.03,2
2.52,2
3.27,2
20.42,2
4.13,2
7.5,2
24.93,2
6.22,2
2.93,2
12.17,2
11.87,2
2.72,2
10.13,2
10.4,2
5.42,2
3.47,2
3.28,2
10.85,2
5.02,2
18.07,2
10.38,2
4.55,2
6.28,2
10.62,2
9.18,2
11.22,2
4.28,2
14.12,2
20.73,2
13.58,2
30.83,2
3.37,2
17.07,2
10.27,2
7.22,2
16.75,2
7.13,2
8.82,2
6.9,2
19.35,2
7.43,2
8.75,2
3.33,2
14.23,2
12.95,2
2.25,2
37.42,1
29.12,1
35.13,1
9.92,1
11.32,1
7.3,1
16.03,1
7.97,1
2.32,1
3.77,1
44.33,1
10.82,1
17.63,1
11.98,1
2.27,1
5.78,1
7.53,1
16.43,1
20.88,1
14.82,1
9.07,1
9.4,1
15.37,1
80.13,1
38.77,1
20.82,1
18.67,1
8.72,1
4.72,1
9.2,1
9.22,1
37.88,1
36.47,1
12.52,1
40.45,1
10.98,1
2.92,1
9.1,1
18.73,1
24.15,1
60.35,1
11.47,1
40.82,1
17.78,1
11.4,1
48.58,1
5.15,1
27.2,1
11.23,1
32.1,1
52.6,1
11.45,1
14.85,1
16.1,1
78.85,1
18.35,1
4.15,1
6.2,1
9.67,1
8.2,1
29.57,1
11.15,1
8.92,1
32.33,1
2.3,1
9.43,1
11.03,1
9.45,1
14.62,1
40.67,1
15.45,1
3.8,1
11.53,1
18.93,1
4.6,1
3.98,1
3.73,1
8.35,1
36.28,1
29.0,1
22.25,1
9.65,1
26.0,1
2.5,1
19.47,1
36.72,1
2.22,1
2.37,1
12.78,1
10.1,1
3.92,1
10.77,1
12.83,1
34.87,1
90.87,1
5.97,1
9.03,1
52.4,1
7.9,1
3.7,1
12.4,1
21.73,1
6.75,1
67.92,1
7.0,1
30.5,1
25.5,1
24.0,1
10.75,1
11.25,1
23.5,1
1.0,1
13.75,1
26.5,1
5.75,1
13.0,1
24.75,1
12.75,1
20.0,1
17.0,1
16.0,1
4.0,1
28.5,1
35.0,1
9.5,1
3.75,1
12.25,1
4.5,1
15.43,1
21.33,1
64.25,1
43.1,1
12.3,1
15.05,1
28.3,1
68.12,1
6.58,1
26.8,1
29.2,1
50.93,1
15.27,1
23.07,1
18.37,1
12.12,1
30.95,1
4.08,1
252.88,1
4.45,1
9.05,1
23.53,1
15.33,1
6.8,1
14.4,1
25.93,1
19.73,1
44.4,1
10.93,1
14.33,1
15.93,1
30.53,1
38.28,1
15.78,1
12.1,1
5.87,1
48.28,1
13.22,1
37.28,1
5.77,1
23.58,1
19.17,1
12.98,1
2.33,1
8.73,1
18.1,1
3.38,1
15.9,1
54.62,1
17.03,1
5.18,1
9.93,1
3.67,1
7.33,1
11.92,1
13.78,1
16.33,1
6.05,1
2.62,1
34.2,1
8.55,1
5.95,1
42.13,1
6.13,1
10.15,1
7.67,1
8.58,1
2.88,1
107.72,1
10.43,1
5.35,1
29.65,1
4.18,1
30.47,1
6.1,1
3.07,1
14.42,1
21.15,1
9.47,1
15.32,1
10.32,1
1.1,1
0.82,1
13.03,1
42.92,1
2.95,1
7.88,1
2.58,1
40.33,1
7.55,1
19.22,1
8.4,1
43.67,1
4.73,1
16.63,1
46.98,1
15.07,1
15.82,1
12.57,1
57.42,1
12.18,1
4.53,1
98.18,1
24.98,1
12.32,1
2.05,1
9.8,1
16.7,1
86.7,1
4.87,1
29.3,1
13.1,1
27.33,1
4.92,1
17.15,1
34.18,1
18.32,1
5.55,1
14.73,1
8.97,1
10.9,1
15.12,1
2.45,1
4.8,1
2.85,1
66.47,1
7.45,1
10.87,1
9.78,1
97.8,1
25.67,1
12.62,1
4.22,1
6.93,1
88.98,1
2.23,1
14.03,1
14.45,1
14.72,1
13.73,1
4.88,1
3.17,1
59.33,1
8.43,1
4.1,1
76.15,1
28.85,1
17.4,1
1.32,1
135.03,1
3.05,1
15.48,1
8.42,1
24.18,1
45.08,1
15.4,1
26.85,1
91.75,1
68.68,1
17.95,1
45.73,1
2.65,1
5.83,1
7.57,1
6.32,1
4.9,1
13.55,1
29.52,1
14.15,1
4.62,1
13.13,1
13.77,1
7.73,1
4.82,1
25.55,1
18.23,1
25.27,1
17.02,1
12.97,1
2.53,1
21.27,1
2.47,1
12.38,1
13.38,1
18.17,1
9.98,1
29.07,1
13.87,1
4.37,1
8.83,1
4.58,1
5.52,1
18.48,1
5.22,1
11.8,1
5.4,1
9.23,1
6.55,1
16.28,1
5.93,1
108.5,1
47.75,1
8.68,1
16.55,1
7.83,1
26.57,1
4.05,1
13.37,1
19.97,1
26.52,1
11.27,1
28.02,1
25.03,1
42.37,1
12.02,1
84.68,1
9.37,1
13.67,1
28.97,1
7.72,1
3.72,1
12.68,1
40.6,1
19.1,1
63.83,1
7.65,1
12.35,1
23.3,1
21.97,1
15.03,1
24.3,1
4.23,1
7.8,1
30.32,1
3.23,1
12.65,1
53.4,1
95.15,1
14.05,1
12.63,1
2.73,1
15.88,1
5.32,1
13.62,1
2.38,1
6.57,1
17.1,1
3.03,1
8.18,1
5.37,1
1.78,1
22.57,1
12.47,1
8.17,1
6.87,1
9.77,1
13.08,1
48.88,1
12.67,1
20.62,1
16.05,1
